cf_id,contact_id,company_name,description, goal , pledged ,outcome,backers_count,country,currency,launched_date,end_date,category_id,subcategory_id
147,4661,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization, $100.00 , $-   ,failed,0,CA,CAD,2/13/20,3/1/21,cat01,scat01
1621,3765,Odom Inc,Managed bottom-line architecture," $1,400.00 "," $14,560.00 ",successful,158,US,USD,1/25/21,5/25/21,cat02,scat02
1812,4187,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure," $108,400.00 "," $142,523.00 ",successful,1425,AU,AUD,12/17/20,12/30/21,cat03,scat03
2156,4941,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration," $4,200.00 "," $2,477.00 ",failed,24,US,USD,10/21/21,1/17/22,cat02,scat02
1365,2199,Larson-Little,Proactive foreground core," $7,600.00 "," $5,265.00 ",failed,53,US,USD,12/21/20,8/23/21,cat04,scat04
2057,5650,Harris Group,Open-source optimizing database," $7,600.00 "," $13,195.00 ",successful,174,DK,DKK,12/11/20,8/29/21,cat04,scat04
1894,5889,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm," $5,200.00 "," $1,090.00 ",failed,18,GB,GBP,7/31/20,5/11/21,cat05,scat05
2669,4842,Carter-Guzman,Centralized cohesive challenge," $4,500.00 "," $14,741.00 ",successful,227,DK,DKK,12/22/20,9/21/21,cat04,scat04
1114,3280,Nunez-Richards,Exclusive attitude-oriented intranet," $110,100.00 "," $21,946.00 ",live,708,DK,DKK,4/8/20,3/10/21,cat04,scat04
970,5468,"Rangel, Holt and Jones",Open-source fresh-thinking model," $6,200.00 "," $3,208.00 ",failed,44,US,USD,8/13/21,8/31/21,cat02,scat06
2340,3064,Green Ltd,Monitored empowering installation," $5,200.00 "," $13,838.00 ",successful,220,US,USD,7/11/20,8/2/21,cat05,scat07
601,4904,"Perez, Johnson and Gardner",Grass-roots zero administration system engine," $6,300.00 "," $3,030.00 ",failed,27,US,USD,8/11/20,6/26/21,cat04,scat04
1950,1299,Kim Ltd,Assimilated hybrid intranet," $6,300.00 "," $5,629.00 ",failed,55,US,USD,11/14/20,4/9/21,cat05,scat07
671,5602,"Walker, Taylor and Coleman",Multi-tiered directional open architecture," $4,200.00 "," $10,295.00 ",successful,98,US,USD,11/11/20,11/6/21,cat02,scat08
1683,5753,"Rodriguez, Rose and Stewart",Cloned directional synergy," $28,200.00 "," $18,829.00 ",failed,200,US,USD,11/14/21,1/2/22,cat02,scat08
505,4495,"Wright, Hunt and Rowe",Extended eco-centric pricing structure," $81,200.00 "," $38,414.00 ",failed,452,US,USD,10/25/21,12/16/21,cat03,scat09
1245,4269,Hines Inc,Cross-platform systemic adapter," $1,700.00 "," $11,041.00 ",successful,100,US,USD,8/20/21,12/22/21,cat06,scat010
2550,2226,Cochran-Nguyen,Seamless 4thgeneration methodology," $84,600.00 "," $134,845.00 ",successful,1249,US,USD,4/12/20,3/24/21,cat05,scat011
875,1558,Johnson-Gould,Exclusive needs-based adapter," $9,100.00 "," $6,089.00 ",canceled,135,US,USD,3/24/21,1/27/22,cat04,scat04
2283,2307,Perez-Hess,Down-sized cohesive archive," $62,500.00 "," $30,331.00 ",failed,674,US,USD,10/12/21,11/17/21,cat04,scat04
118,2900,"Reeves, Thompson and Richardson",Proactive composite alliance," $131,800.00 "," $147,936.00 ",successful,1396,US,USD,4/12/20,4/9/21,cat05,scat07
711,5695,Simmons-Reynolds,Re-engineered intangible definition," $94,000.00 "," $38,533.00 ",failed,558,US,USD,3/14/21,4/29/21,cat04,scat04
1747,5708,Collier Inc,Enhanced dynamic definition," $59,100.00 "," $75,690.00 ",successful,890,US,USD,7/6/20,8/4/21,cat04,scat04
1825,1663,Gray-Jenkins,Devolved next generation adapter," $4,500.00 "," $14,942.00 ",successful,142,GB,GBP,7/23/21,9/12/21,cat05,scat05
1019,3605,"Scott, Wilson and Martin",Cross-platform intermediate frame," $92,400.00 "," $104,257.00 ",successful,2673,US,USD,5/1/21,10/1/21,cat03,scat09
821,4678,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer," $5,500.00 "," $11,904.00 ",successful,163,US,USD,10/9/20,5/23/21,cat07,scat012
2653,2251,Spencer-Bates,Optional responsive customer loyalty," $107,500.00 "," $51,814.00 ",canceled,1480,US,USD,11/20/20,7/27/21,cat04,scat04
2502,6202,"Best, Carr and Williams",Diverse transitional migration," $2,000.00 "," $1,599.00 ",failed,15,US,USD,1/8/21,10/15/21,cat02,scat02
325,3715,"Campbell, Brown and Powell",Synchronized global task-force," $130,800.00 "," $137,635.00 ",successful,2220,US,USD,12/23/20,12/23/21,cat04,scat04
1345,4242,"Johnson, Parker and Haynes",Focused 6thgeneration forecast," $45,900.00 "," $150,965.00 ",successful,1606,CH,CHF,11/6/20,8/27/21,cat05,scat013
2303,4326,Clark-Cooke,Down-sized analyzing challenge," $9,000.00 "," $14,455.00 ",successful,129,US,USD,10/28/20,2/15/21,cat05,scat011
2224,5560,Schroeder Ltd,Progressive needs-based focus group," $3,500.00 "," $10,850.00 ",successful,226,GB,GBP,11/25/20,2/5/21,cat07,scat012
1173,4002,Jackson PLC,Ergonomic 6thgeneration success," $101,000.00 "," $87,676.00 ",failed,2307,IT,EUR,2/21/21,11/26/21,cat05,scat05
210,3813,"Blair, Collins and Carter",Exclusive interactive approach," $50,200.00 "," $189,666.00 ",successful,5419,US,USD,4/4/21,12/9/21,cat04,scat04
1546,5336,Maldonado and Sons,Reverse-engineered asynchronous archive," $9,300.00 "," $14,025.00 ",successful,165,US,USD,1/26/21,12/10/21,cat05,scat05
2871,4994,Mitchell and Sons,Synergized intangible challenge," $125,500.00 "," $188,628.00 ",successful,1965,DK,DKK,3/16/21,3/25/21,cat05,scat07
2034,1471,Jackson-Lewis,Monitored multi-state encryption, $700.00 ," $1,101.00 ",successful,16,US,USD,4/7/21,11/26/21,cat04,scat04
2677,4482,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities," $8,100.00 "," $11,339.00 ",successful,107,US,USD,11/20/20,10/18/21,cat06,scat014
1865,3241,Maldonado-Gonzalez,Digitized client-driven database," $3,100.00 "," $10,085.00 ",successful,134,US,USD,8/23/21,1/10/22,cat08,scat015
170,3477,Kim-Rice,Organized bi-directional function," $9,900.00 "," $5,027.00 ",failed,88,DK,DKK,4/14/21,5/1/21,cat04,scat04
462,2265,"Garcia, Garcia and Lopez",Reduced stable middleware," $8,800.00 "," $14,878.00 ",successful,198,US,USD,11/18/20,3/18/21,cat03,scat09
3122,5911,Watts Group,Universal 5thgeneration neural-net," $5,600.00 "," $11,924.00 ",successful,111,IT,EUR,3/17/21,7/8/21,cat02,scat02
1175,2288,Werner-Bryant,Virtual uniform frame," $1,800.00 "," $7,991.00 ",successful,222,US,USD,6/20/20,1/30/21,cat01,scat01
2301,4064,Schmitt-Mendoza,Profound explicit paradigm," $90,200.00 "," $167,717.00 ",successful,6212,US,USD,11/14/20,7/6/21,cat06,scat016
91,1294,Reid-Mccullough,Visionary real-time groupware," $1,600.00 "," $10,541.00 ",successful,98,DK,DKK,11/25/20,3/1/21,cat06,scat014
87,5008,Woods-Clark,Networked tertiary Graphical User Interface," $9,500.00 "," $4,530.00 ",failed,48,US,USD,1/18/21,3/20/21,cat04,scat04
1482,3604,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force," $3,700.00 "," $4,247.00 ",successful,92,US,USD,5/23/21,9/23/21,cat02,scat02
1711,3263,Bennett and Sons,Function-based multi-state software," $1,500.00 "," $7,129.00 ",successful,149,US,USD,12/18/20,6/27/21,cat04,scat04
2294,5631,Lamb Inc,Optimized leadingedge concept," $33,300.00 "," $128,862.00 ",successful,2431,US,USD,2/22/21,11/10/21,cat04,scat04
2389,2851,Casey-Kelly,Sharable holistic interface," $7,200.00 "," $13,653.00 ",successful,303,US,USD,1/25/21,1/30/22,cat02,scat02
378,3714,"Jones, Taylor and Moore",Down-sized system-worthy secured line, $100.00 , $2.00 ,failed,1,IT,EUR,10/8/21,11/3/21,cat02,scat017
1213,1664,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure," $158,100.00 "," $145,243.00 ",failed,1467,GB,GBP,9/7/20,7/29/21,cat03,scat09
29,5027,"Hernandez, Rodriguez and Clark",Organic foreground leverage," $7,200.00 "," $2,459.00 ",failed,75,US,USD,3/12/21,1/5/22,cat04,scat04
2309,3070,Smith-Jones,Reverse-engineered static concept," $8,800.00 "," $12,356.00 ",successful,209,US,USD,10/14/21,12/24/21,cat05,scat07
2101,4248,Roy PLC,Multi-channeled neutral customer loyalty," $6,000.00 "," $5,392.00 ",failed,120,US,USD,3/30/21,5/24/21,cat03,scat09
